Negative,BATTERY#GENERAL,The unit is working bad and due to the slow charge the battery life will not be enhanced
Positive,CAMERA#GENERAL,Innovative and good camera product. I am able to charge my spare battery of mobile. It senses  and  polarities automatically.
Positive,BATTERY#CHARGING,I tried many battery but this battery is just awsome ....please go through it...and buy ...thank u seller for understanding the need...
Positive,DISPLAY#GENRAL,good display of the phone
Neutral,WORKING#GENRAL,it’s a moderate performance
Negative,FUNCTIONALITY#BATTERY,very bad . battery heats up very fast
Positive,SERVICE#GENERAL,Product is genuine and effective. Original battery of Jio Fi
Positive,PERFORMANCE#GENERAL,"it's good,awesomethe battery backup is very good having 6 month warranty.."
Negative,FUNCTIONALITY#BATTERY,"Very poor quality, did not charge properly and discharge in a few second"
Positive,SERVICE#GENERAL,Product is genuine and effective. Original battery of Jio Fi
Negative,FUNCTIONALITY#BATTERY,The battery is completely useless to me
Positive,BATTERY#GENERAL,"it's good,the battery backup is very good having 6 month warranty.."
Negative,FUNCTIONALITY#CAMERA,Built quality is poor. Front camera is worst. Back camera doesn't look like 48megapixel. The product which I received has a back panel issue. Don't buy pearl white.
Neutral,WORKING#DOWNLOAD,"bad galaxy 8. It has problems downloading media pictures however, I'm hoping it's a software issue."
Positive,DISPLAY#GENRAL,one of the best display of the phone
Negative,DISPLAY#GENRAL,bad display of the phone .
Positive,RAM#GENRAL,Fast performance by ram
